,archor,url
0,学院概况,http://cc.nankai.edu.cn/13256/list.htm
1,学院领导,http://cc.nankai.edu.cn/xxld/list.htm
2,学院党委,http://cc.nankai.edu.cn/xydw/list.htm
3,组织结构,http://cc.nankai.edu.cn/13280/list.htm
4,学科学术分委会,http://cc.nankai.edu.cn/xkxsfwh/list.htm
5,学位评定分委会,http://cc.nankai.edu.cn/xwpdfwh/list.htm
6,教代会、工会委员会,http://cc.nankai.edu.cn/jdhwghwyh/list.htm
7,专业技术职务评审分委员会,http://cc.nankai.edu.cn/zyjszwpsfwh/list.htm
8,学科结构,http://cc.nankai.edu.cn/13262/list.htm
9,计算机科学与技术学科,http://cc.nankai.edu.cn/13263/list.htm
10,教授/研究员,http://cc.nankai.edu.cn/jswyjy/list.htm
11,副教授/副研究员,http://cc.nankai.edu.cn/fjswfyjy/list.htm
12,讲师,http://cc.nankai.edu.cn/js/list.htm
13,实验教学队伍,http://cc.nankai.edu.cn/syjxdw/list.htm
14,博士后,http://cc.nankai.edu.cn/bsh/list.htm
15,兼职教授,http://cc.nankai.edu.cn/jzjs/list.htm
16,本科教育,http://cc.nankai.edu.cn/13272/list.htm
17,研究生教育,http://cc.nankai.edu.cn/13273/list.htm
18,硕士生导师,http://cc.nankai.edu.cn/13274/list.htm
19,博士生导师,http://cc.nankai.edu.cn/bssds/list.htm
20,系所中心,http://cc.nankai.edu.cn/13280/list.htm
21,学术团队,http://cc.nankai.edu.cn/13281/list.htm
22,合作院校分布,http://cc.nankai.edu.cn/13289/list.htm
23,联合培养项目,http://cc.nankai.edu.cn/13290/list.htm
24,最新动态,http://cc.nankai.edu.cn/13291/list.htm
25,学院公告,http://cc.nankai.edu.cn/13292/list.htm
26,学生工作通知,http://cc.nankai.edu.cn/13293/list.htm
27,科研信息,http://cc.nankai.edu.cn/13294/list.htm
28,本科生教学,http://cc.nankai.edu.cn/13295/list.htm
29,党团园地,http://cc.nankai.edu.cn/13296/list.htm
30,研究生招生,http://cc.nankai.edu.cn/13297/list.htm
31,研究生教学,http://cc.nankai.edu.cn/13298/list.htm
32,就业信息,http://cc.nankai.edu.cn/13299/list.htm
33,机构设置,http://cc.nankai.edu.cn/xyzsbgs/list.htm
34,院长信箱,http://cc.nankai.edu.cn/13301/list.htm
35,登录后台,http://cc-backend.nankai.edu.cn
36,在职工程硕士系统,http://ms.nankai.edu.cn/me/index.aspx
37,推免生报名系统,http://yzxt.nankai.edu.cn/intern/frontend/web/index.php
38,计算机科学与技术系,http://cc.nankai.edu.cn/13282/list.htm
39,公共计算机基础教学部,http://cc.nankai.edu.cn/13283/list.htm
40,实验教学中心,http://cc.nankai.edu.cn/13284/list.htm
41,国家级虚拟仿真实验教学中心,http://cc.nankai.edu.cn/13285/list.htm
42,大数据技术研究所,http://cc.nankai.edu.cn/13286/list.htm
43,机器智能研究所,http://cc.nankai.edu.cn/13287/list.htm
44,系统与网络研究所,http://cc.nankai.edu.cn/13288/list.htm
45,最新动态,http://cc.nankai.edu.cn/13291/list.htm
46,我院师生获CCF中国软件大会软件研究成果原型系统竞赛二等奖11-29,http://cc.nankai.edu.cn/2022/1129/c13291a498792/page.htm
47,天津市网络与信息安全技术重点实验室召开2022年度学术委员会会议11-28,http://cc.nankai.edu.cn/2022/1128/c13291a498715/page.htm
48,“计算机网络与系统安全教学团队”获校级教学团队称号10-20,http://cc.nankai.edu.cn/2022/1020/c13291a487363/page.htm
49,我院4篇论文获评南开大学2022年优秀硕士学位论文10-19,http://cc.nankai.edu.cn/2022/1019/c13291a487213/page.htm
50,我院获19项国家自然科学基金资助10-14,http://cc.nankai.edu.cn/2022/1014/c13291a485727/page.htm
51,我院荣获2022年南开大学研究生教学成果奖10-10,http://cc.nankai.edu.cn/2022/1010/c13291a484724/page.htm
52,天津市网络与数据安全技术重点实验室,http://ndst.nankai.edu.cn/
53,南开大学,http://www.nankai.edu.cn/
54,在线南开网办事大厅,http://online.nankai.edu.cn/nk_portal/index
55,教务处,http://jwc.nankai.edu.cn/
56,研究生院,http://graduate.nankai.edu.cn/
57,教务处系统-老师入口,http://eamis.nankai.edu.cn/eams/login.action
58,国际学术交流处,http://www.nankai.edu.cn/
59,教务处系统-学生入口,http://eamis.nankai.edu.cn/eams/login.action
60,网络空间安全学院,http://cyber.nankai.edu.cn
61,财务信息平台,http://222.30.61.183/
62,教育在线,http://222.30.60.9/meol/homepage/common/
63,南开OA系统,http://nkoa.nankai.edu.cn/login/Login.jsp?logintype=1
64,学信网,https://www.chsi.com.cn/
65,天津市信息中心,http://www.tjic.cn/
66,天津科学技术委员会,http://kxjs.tj.gov.cn/
67,天津市教育委员会,http://www.tjmec.gov.cn/index.jsp
68,学院公告More,http://cc.nankai.edu.cn/13292/list.htm
69,关于办理2021年度个人所得税综合所得汇算清缴的通知2022-03-16,http://cc.nankai.edu.cn/2022/0316/c13292a437303/page.htm
70,“一如计网云学习”系列讲座活动（第四讲）2022-01-19,http://cc.nankai.edu.cn/2022/0119/c13292a428610/page.htm
71,“一如计网云学习”系列讲座活动（第三讲）2022-01-19,http://cc.nankai.edu.cn/2022/0119/c13292a428609/page.htm
72,“一如计网云抗疫”系列讲座活动（第二讲）2022-01-16,http://cc.nankai.edu.cn/2022/0116/c13292a428339/page.htm
73,学生工作通知More,http://cc.nankai.edu.cn/13293/list.htm
74,关于推荐优秀学生参与2022年天津市高校资助育人宣传大使选拔赛的工作通知2022-11-30,http://cc.nankai.edu.cn/2022/1130/c13293a499125/page.htm
75,关于做好南开大学2022-2023学年度本科生学费代缴工作的通知2022-11-07,http://cc.nankai.edu.cn/2022/1107/c13293a493610/page.htm
76,【职业生涯管理讲座】人生没有白走的路，每一步都算数2022-11-02,http://cc.nankai.edu.cn/2022/1102/c13293a491453/page.htm
77,【本科生】关于做好2021-2022学年度市级先进个人评选工作的通知2022-10-27,http://cc.nankai.edu.cn/2022/1027/c13293a489039/page.htm
78,科研信息More,http://cc.nankai.edu.cn/13294/list.htm
79,【学术讲座】第256期：万物智能互联时代的安全底座：不可克隆安全芯片设计2022-11-27,http://cc.nankai.edu.cn/2022/1127/c13294a498337/page.htm
80,【学术讲座】第255期：浅谈万物智联时代的网络空间安全2022-11-27,http://cc.nankai.edu.cn/2022/1127/c13294a498336/page.htm
81,【学术讲座】第254期：移动端智能计算2022-11-27,http://cc.nankai.edu.cn/2022/1127/c13294a498335/page.htm
82,【学术讲座】第253期：分组密码S盒的紧凑实现2022-11-23,http://cc.nankai.edu.cn/2022/1123/c13294a497524/page.htm
83,本科生教学More,http://cc.nankai.edu.cn/13295/list.htm
84,我院学生在第六届全国密码技术竞赛获佳绩2021-12-01,http://cc.nankai.edu.cn/2021/1201/c13295a418548/page.htm
85,海河青听|“我为学生做件事”——科研方向任你选，导师引领促成长2021-05-28,http://cc.nankai.edu.cn/2021/0528/c13295a367741/page.htm
86,学院召开教育教学与学科建设研讨会2019-01-03,http://cc.nankai.edu.cn/2019/0103/c13295a378773/page.htm
87,研究生招生More,http://cc.nankai.edu.cn/13297/list.htm
88,【博士招生】网络空间安全学院2023年“申请考核制”博士研究生材料审核情况公示2022-11-18,http://cc.nankai.edu.cn/2022/1118/c13297a495855/page.htm
89,【博士招生】计算机学院2023年“申请考核制”博士研究生材料审核情况公示2022-11-18,http://cc.nankai.edu.cn/2022/1118/c13297a495852/page.htm
90,【转发】关于摸排天津市2023年全国硕士研究生招生考试（初试）考生信息的提示2022-11-18,http://cc.nankai.edu.cn/2022/1118/c13297a495798/page.htm
91,【博士招生】计算机学院、网络空间安全学院关于2023年从优秀在学硕士生中选拔录取博士生的实施办法2022-10-17,http://cc.nankai.edu.cn/2022/0921/c13297a478322/page.htm
92,研究生教学More,http://cc.nankai.edu.cn/13298/list.htm
93,【课表】2022-2023（1）课表及选课说明2022-09-07,http://cc.nankai.edu.cn/2022/0907/c13298a473409/page.htm
94,南开大学关于2022年秋季学期研究生教学工作预案2022-06-27,http://cc.nankai.edu.cn/2022/0627/c13298a460135/page.htm
95,【专业实践】关于做好2021级专业学位研究生专业实践工作的通知2022-05-04,http://cc.nankai.edu.cn/2022/0504/c13298a447784/page.htm
96,党团园地More,http://cc.nankai.edu.cn/13296/list.htm
97,我院开展“坚定创新自信发扬实干精神”导师有约下午茶活动2022-11-23,http://cc.nankai.edu.cn/2022/1123/c13296a497539/page.htm
98,计算机学院2022级学硕班主题团日活动2022-11-20,http://cc.nankai.edu.cn/2022/1120/c13296a496047/page.htm
99,计算机学院2020级硕士生党支部开展主题党日活动2022-11-20,http://cc.nankai.edu.cn/2022/1120/c13296a496040/page.htm
100,我院本科生党支部联合开展“学习二十大永远跟党走”主题党日活动2022-11-18,http://cc.nankai.edu.cn/2022/1118/c13296a495835/page.htm
101,就业信息More,http://cc.nankai.edu.cn/13299/list.htm
